radius latitude longitude sensitivity
4985057.0 21.0 169.0 0.0
5384477.0 30.0 169.0 0.0
5898399.0 38.0 169.0 0.0
6105423.0 -37.0 158.0 0.0
5610497.0 -29.0 158.0 0.0
5228372.0 -20.0 158.0 0.0
4985057.0 -11.0 158.0 0.0
4901268.0 0.0 158.0 0.0
4985057.0 11.0 158.0 0.0
5228372.0 20.0 158.0 0.0
5610497.0 29.0 158.0 0.0
6105423.0 37.0 158.0 0.0
5968205.0 -27.0 149.0 0.0
5610497.0 -19.0 149.0 0.0
5384477.0 -10.0 149.0 0.0
5306998.0 0.0 149.0 0.0
5384477.0 10.0 149.0 0.0
5610497.0 19.0 149.0 0.0
5968205.0 27.0 149.0 0.0
6105423.0 -17.0 141.0 0.0
5898399.0 -9.0 141.0 0.0
5827757.0 0.0 141.0 0.0
5898399.0 9.0 141.0 0.0
6105423.0 17.0 141.0 0.0
6105423.0 -17.0 -129.0 0.0
5898399.0 -9.0 -129.0 0.0
5827757.0 0.0 -129.0 0.0
5898399.0 9.0 -129.0 0.0
6105423.0 17.0 -129.0 0.0
6305654.0 -35.0 -135.0 0.0
5827757.0 -28.0 -135.0 0.0
5460856.0 -19.0 -135.0 0.0
5228372.0 -10.0 -135.0 0.0
5148545.0 0.0 -135.0 0.0
5228372.0 10.0 -135.0 0.0
5460856.0 19.0 -135.0 0.0
5827757.0 28.0 -135.0 0.0
6305654.0 35.0 -135.0 0.0
5827757.0 -39.0 -143.0 0.0
5306999.0 -31.0 -143.0 0.0
4901269.0 -22.0 -143.0 0.0
4640835.0 -11.0 -143.0 0.0
4550713.0 0.0 -143.0 0.0
4640835.0 11.0 -143.0 0.0
4901269.0 22.0 -143.0 0.0
5306999.0 31.0 -143.0 0.0
5827757.0 39.0 -143.0 0.0
6105423.0 -48.0 -153.0 0.0
5460856.0 -42.0 -153.0 0.0
4901269.0 -34.0 -153.0 0.0
4458770.0 -24.0 -153.0 0.0
4170798.0 -13.0 -153.0 0.0
4070282.0 0.0 -153.0 0.0
4170798.0 13.0 -153.0 0.0
4458770.0 24.0 -153.0 0.0
4901269.0 34.0 -153.0 0.0
